id,category,item,value,unit,source,page,confidence,system,part,applies,note
SP-459,Lighting,"Bulb held (figure callout 75115A, Mazda 0000-11-0074, trade 74)",1.4,W,S-005,"BI p49, fig 5540A-1",primary,electrical,PT629,,The figure pairs socket 55261A with bulb 75115A; the rows give 75115A = 0000-11-0074 (1.4W). The S-001 decode also gives the warning lamps as 1.4 W. Confirm on the car.
SP-460,Lighting,Quantity in the cluster,6,pcs,S-005,"BI p49, fig 5540A-1",primary,electrical,PT629,,Eight 74 bulbs are listed against six of these sockets; where the other two sit is not shown (confirm on the car).
SP-461,Electrical,Supply fuse (LY constant bus),15,A,S-001,PDF p.26,primary,electrical,PT630,,"X-04 15 A off WR; shared with interior light, lighter, clock, luggage light"
SP-462,Electrical,Supply fuse (LY constant bus),15,A,S-001,PDF p.26,primary,electrical,PT631,,works with the key out; the 1985 fuse card shows 10 A CIGAR (other car)
SP-463,Electrical,"Supply fuse (WG, constant)",10,A,S-001,"PDF p.28, p.22",primary,electrical,PT634,,"X-04 10 A off WR (p.28); the hazard feed WG is drawn off a 10 A WR fuse too (p.22), read as the same fuse; confirm on the fuse block"
SP-464,Electrical,"Switch continuity, left mirror selected","UP: c-d-f, a-b; DOWN: c-b-f, a-d; LEFT: c-d, a-b; RIGHT: c-b, a-d",,S-002,Section 15 p.15-42,primary,electrical,PT634,other-car,"1985 switch letters: a=B ground, b=Lg LH motor, c=feed, d=LgB motor common, e=LgR RH motor, f=LgY solenoids. 1982 uses the same wire colours (S-001 p.28); confirm that the switch is the same"
SP-465,Electrical,"Switch continuity, right mirror selected","UP: c-d-f, a-e; DOWN: c-e-f, a-d; LEFT: c-d, a-e; RIGHT: c-e, a-d",,S-002,Section 15 p.15-42,primary,electrical,PT634,other-car,same letters as the left-side row
SP-466,Electrical,Mirror connector continuity (motor pins a-b and solenoid pins c-d),a-b yes; c-d yes; a-c no; b-d no,,S-002,Section 15 p.15-41,primary,electrical,PT634,other-car,mirror side test that goes with the switch; 1985
SP-467,Electrical,"Supply fuse (LR constant, OPENER)",20,A,S-001,PDF p.26,primary,electrical,PT635,,shared with the glass-hatch release; 1985 card calls it 20 A OPENER (S-002 p.15-13)
SP-468,Electrical,Switch check,"continuity when pulled ON, none when OFF; LR to ground shows battery voltage with the switch unplugged",,S-002,Section 15 p.15-38 to 15-39,primary,electrical,PT635,other-car,1985 procedure; same wires LR/GB as 1982 S-001 p.26
SP-469,Electrical,"Supply fuse (rear wiper and washer, L ignition)",10,A,S-001,PDF p.18,primary,electrical,PT637,,fuse feeds the motors; the switch works on the ground side
SP-470,Electrical,Tail/park feed fuse to the light switch (R),10,A,S-001,"PDF p.20, p.22",primary,electrical,PT638,,"headlight side is fed WG through a 0.3 sq fusible link, not a fuse"
SP-471,Electrical,Hazard feed fuse (WG) and turn feed fuse (GY),10,A,S-001,PDF p.22,primary,electrical,PT638,,"two separate 10 A fuses; hazard constant, turn on ignition"
SP-472,Body,Steering wheel nut torque (the wheel comes off to change the switch),40-50,N·m,S-038,T:7,primary,electrical,PT638,,29-36 ft-lb
SP-473,Electrical,"Light, dimmer and passing switch continuity","OFF: A-D (passing ON adds E-H); PARK: A-B-D (passing ON adds E-H); HEAD LOW: E-C-I, A-B; HEAD HIGH: E-C-H, A-B",,S-045,80RX7_15 p.15:9 (PDF p.11),primary,electrical,PT638,other-car,"1980 switch leads: A RL, B RG, C LR, D LY, E WR, H RW, I RB, F/G/J not used. The 1982 harness colours differ (S-001 E-01: R, WG, RW, R, GL, RL, RY, RG), so the 1982 switch may be wired differently; confirm on the part"
SP-474,Electrical,Turn signal and hazard switch continuity,"Hazard OFF: left D-E, F-H; neutral D-E; right D-E, F-G. Hazard ON: C-E, F-G-H",,S-045,80RX7_15 p.15:9 (PDF p.11),primary,electrical,PT638,other-car,"1980 leads: A G, B not used, C WL, D GY, E WG, F GR, G GW, H GB. 1982 F-02 carries WG, GW, GY, GR, GO, GB; confirm"
SP-475,Electrical,Wiper and washer switch continuity,"INT: A-B, D-F; OFF: A-B; LOW: B-F; HIGH: C-F; washer ON: E-F",,S-045,80RX7_15 p.15:9 (PDF p.11),primary,electrical,PT640,other-car,"1980 leads: A Y, B W, C R, D G, E L, F B (ground). 1982 D-03 carries B, LO, LY, LR, LG, LW; confirm"
SP-476,Electrical,"Horn relay fuse (GW, shared with stop lamps)",15,A,S-001,PDF p.22,primary,electrical,PT642,,the horn contact only switches relay coil current
SP-477,Electrical,Horn current (adjusted),3.0,A,S-045,80RX7_15_Body_Electrical.pdf p15:5 (PDF p7),primary,electrical,PT647,other-car,"tolerance +/- 0.5 A at 12 V; set with the adjusting screw, each horn separately, tone checked as a pair. 1980 manual; no 1982 figure found in S-038"
SP-478,Electrical,Circuit fuse (shared with stop lights),15,A,S-001,p22 (section F),primary,electrical,PT647,,GW from the 15 A fuse feeds relay F-16; horns sound on GY
SP-479,Electrical,Horn current (adjusted),3.0,A,S-045,80RX7_15_Body_Electrical.pdf p15:5 (PDF p7),primary,electrical,PT648,other-car,"tolerance +/- 0.5 A at 12 V; set with the adjusting screw, each horn separately, tone checked as a pair. 1980 manual; no 1982 figure found in S-038"
SP-480,Electrical,Circuit fuse (shared with stop lights),15,A,S-001,p22 (section F),primary,electrical,PT648,,GW from the 15 A fuse feeds relay F-16; horns sound on GY
SP-481,Electrical,Power window circuit fuse,30,A,S-001,p28 (section I),primary,electrical,PT646,not-fitted,"X-04 30 A fuse, BW from ignition switch IG in, BL out to both switches; not fitted on this car"
SP-482,Electrical,"Supply at switch connector, ignition ON",battery voltage,V,S-002,Section 15 p15-37,primary,electrical,PT646,other-car,"measure BL to body ground; B must show continuity to ground. 1985 manual (one 6-pin switch there, not the 1982 pair of 4-pin switches)"
SP-483,Electrical,"Actuator solenoid coil resistance (a-b, a-c, a-d)",25-35,ohm,S-002,Section 15 p15-53,primary,electrical,PT650,other-car,a = common; 1985 manual. 1982 actuator FA43-66-310B not confirmed identical
SP-484,Electrical,Actuator test with ACC checker: engine speed held,2000-3000,rpm,S-002,Section 15 p15-51,primary,electrical,PT650,other-car,"slide switch H, check switch ON with engine running; release above 4000 rpm (p15-53). Needs the ACC checker 49 9200 010"
SP-485,Engine,Actuator cable free play (12A),7-13,mm,S-002,Section 15 p15-51,primary,electrical,PT651,other-car,pressed lightly at the cable with 100-200 g; set at the adjusting nut. 13B: 6-11 mm
SP-486,Electrical,Cruise control unit fuse,10,A,S-001,p14 (section B),primary,electrical,PT652,not-fitted,"X-04 10 A fuse from BW (IG) feeds Br to main switch, stop switch and clutch switch"
SP-487,Electrical,Unit connector,13,cavities,S-001,p14 (section B),primary,electrical,PT652,not-fitted,"B-25, 12 wires, one cavity marked not used (6 cavities top row, 7 bottom)"
SP-488,Lighting,Main switch indicator lamp,3.4,W,S-001,p14 (section B),primary,electrical,PT654,not-fitted,"lamp inside the C.C. main switch B-31, grounded on B. The 1985 main switch has two 1.4 W lamps (S-002 15-49)"
SP-489,Lighting,Radio illumination lamp,3.4,W,S-001,p20 (Section E),primary,electrical,PT655,,"fed RG from the combination switch tail circuit, not the dimmed RL bus; confirm the bulb in the unit"
SP-490,Electrical,"Supply fuse (X-04, shared with power antenna relay and main amp)",20,A,S-001,p24 (Section G),primary,electrical,PT655,,L (ACC) bus -> X-04 20 A -> LR
SP-491,Electrical,"Speakers in the GS standard system (AM/FM stereo radio with 4 speakers, power amplifier and fader control)",4,count,S-004,p15,primary,electrical,PT655,,"1982 US brochure, RX-7 GS standard equipment"
SP-492,Electrical,"AM antenna trimmer adjustment: ACC, antenna fully extended, tune a weak station near",1400,kHz,S-002,"Section 15, 15-66 and 15-71",primary,electrical,PT655,other-car,"1985 manual; turn the trimmer screw for maximum sensitivity; the '82 unit's trimmer position not documented, confirm"
SP-493,Electrical,"Back-up (memory) lead check: voltage to ground while tuning, engine on and off, higher than about",8,V,S-002,"Section 15, 15-74",primary,electrical,PT655,other-car,1985 electronic-tuner only; the '82 full-control radio has no back-up lead in S-001 p24
SP-494,Electrical,Rated output per channel,5,W,S-005,"BI p105 (6680A-2, 66920A)",primary,electrical,PT660,,"Clarion 0000-81-142C, 5 W x 2, '81 & '82 GS"
SP-495,Electrical,Output channels,2,count,S-005,"BI p105 (6680A-2, 66920A)",primary,electrical,PT660,,rear LH and rear RH (S-001 p24)
SP-496,Electrical,Rated output per channel,25,W,S-005,"BI p105 (6680A-2, 66920E)",primary,electrical,PT661,,"Clarion 0000-81-0287-83, 25 W x 2; listed GS & GSL without a year"
SP-497,Electrical,Output channels,2,count,S-005,"BI p105 (6680A-2, 66920E)",primary,electrical,PT661,,
SP-498,Electrical,"Speaker nominal size, dual cone",4,in,S-005,"BI p105 (6680A-2, 66960C)",primary,electrical,PT662,,about 102 mm nominal trade size; confirm cut-out on the car
SP-499,Electrical,"Speaker power rating, nominal (25 W max quoted)",5,W,S-104,thread,unverified,electrical,PT662,other-car,"forum post about first-gen OEM speakers, year not stated; measure"
SP-500,Electrical,"Rear speaker nominal size, single cone (0000-81-0643)",5,in,S-005,"BI p105 (6680A-2, 66970)",primary,electrical,PT664,,one of two alternatives; GS most likely per S-004 p15; confirm
SP-501,Electrical,"Rear speaker nominal size, coaxial (0000-81-5216-01)",6.5,in,S-005,"BI p105 (6680A-2, 66970)",primary,electrical,PT664,,the alternative; S-004 p15 lists 2-way coaxial rears for GSL
SP-502,Electrical,"DIN cord to rear amp, 1985 pinout: 1 out R-R+, 2 battery (amp), 3 out R-L+, 4 out R-R-, 5 out R-L-, 6 ground, E shield",6,pins+shield,S-002,"Section 15, 15-64 and 15-65",primary,electrical,PT657,other-car,1985 AM/FM-MPX tuner to rear amp (System 3); '82 pinout not documented; confirm
SP-503,Electrical,Diodes fitted,2,count,S-005,"BI p105 (6680A-2, 67242A)",primary,electrical,PT667,,one per head lamp retractor motor per the figure inset; confirm
SP-504,Electrical,"Fuse feeding the power antenna (X-04 fuse block, LR circuit, fed by the switched L line from the ignition switch X-08, not always live)",20,A,S-001,24,primary,electrical,PT668,,Shares the fuse with the stereo/radio and main amp (S-001 p24); the 1985 manual (S-002 p15-75) calls it the radio or antenna fuse (20 A) and tests with the key at ACC
SP-505,Electrical,Motor bench test: raises the mast with battery + on L and - on R (motor connector),12,V,S-002,15-75,primary,electrical,PT668,other-car,"1985 manual; the 1982 motor G-02 carries the same L, LY and R wires on S-001 p24; confirm"
SP-506,Electrical,Motor bench test: lowers the mast with battery + on R and - on LY (motor connector),12,V,S-002,15-75,primary,electrical,PT668,other-car,1985 manual; the wires match S-001 p24 G-02; confirm
SP-507,Electrical,Relay check at the harness-side antenna connector: battery voltage from L to ground with the radio ON (key at ACC),12,V,S-002,15-75,primary,electrical,PT671,other-car,"1985 manual (connector J-02); if not present, replace the relay"
SP-508,Electrical,Relay check at the harness-side antenna connector: battery voltage from R to ground with the radio OFF (key at ACC),12,V,S-002,15-75,primary,electrical,PT671,other-car,1985 manual (connector J-02)
SP-509,Electrical,"Fuse feeding the front washer and wiper (X-04 fuse block, LB circuit, ignition IG)",10,A,S-001,18,primary,electrical,PT038,,
SP-510,Electrical,Front washer motor check: battery voltage on the feed wire with the ignition ON; motor runs when the switched wire is grounded,12,V,S-002,15-45,primary,electrical,PT038,other-car,"1985 manual names the feed L and the switched wire LY (connector D-02). The 1982 feed is LB (S-001 p18). If the pump does not run with LY grounded, replace it"
SP-511,Electrical,Replacement Mazda 8532-76-672 (current supply): fits 1979-94 RX-7; shipping weight,0.3,lb,S-106,,secondary,electrical,PT038,,"Atkins Rotary, 99 USD, in stock; Mazdatrix sells the same number at 48.39 USD"
SP-512,Electrical,"Wiping speed, LOW (motor test, no load)",43-60,rpm,S-045,80RX7_15_Body_Electrical p15:4 (15-B-3),primary,electrical,PT678,other-car,1980 workshop manual; no 1982 figure found (S-038 has no body-electrical table). Same 1979-85 motor family; confirm
SP-513,Electrical,"Wiping speed, HIGH (motor test, no load)",62-95,rpm,S-045,80RX7_15_Body_Electrical p15:4 (15-B-3),primary,electrical,PT678,other-car,1980 workshop manual; HIGH must exceed LOW by more than 15 rpm; confirm
SP-514,Electrical,"No-load current, LOW",4,A max,S-045,80RX7_15_Body_Electrical p15:4 (15-B-3),primary,electrical,PT678,other-car,less than 4 A; 1980 workshop manual; confirm
SP-515,Electrical,"No-load current, HIGH",4,A max,S-045,80RX7_15_Body_Electrical p15:4 (15-B-3),primary,electrical,PT678,other-car,less than 4 A; 1980 workshop manual; confirm
SP-516,Electrical,Bench test: HIGH speed,"battery + to L, ground LR",,S-045,80RX7_15_Body_Electrical p15:4,primary,electrical,PT678,other-car,"1980 table: ground terminal A (LR), power terminal D (L), ammeter between battery and D. 1985 manual (S-002 15-45) gives the same test with its own letters: + to A, - to C for high (- to B for low); it names no wire colours. Wire colours match the 1982 connector in S-001 p18"
SP-517,Electrical,Bench test: LOW speed,"battery + to L, ground LW",,S-045,80RX7_15_Body_Electrical p15:4,primary,electrical,PT678,other-car,"1980 table: ground terminal C (LW), power D (L). Same in S-002 15-45"
SP-518,Electrical,Bench test: auto stop,"battery + to L, ground B, jumper LB to LW",,S-045,80RX7_15_Body_Electrical p15:4,primary,electrical,PT678,other-car,"1980 table: ground E (B), power D (L), jumper between B (LB) and C (LW); motor must stop with blades at the park position"
SP-519,Electrical,Circuit fuse,10,A,S-001,18 (Section D),primary,electrical,PT678,,IG-switched through fuse X-04 10 A; confirm on the car
SP-520,Electrical,Speeds,2 + intermittent,,S-001,18 (Section D),primary,electrical,PT678,,LO and HI brushes; intermittent via the Control Processing Unit X-16
SP-521,Electrical,Connector,"4-pole plug (LW, LR, L, LB) + 1-pole ground plug (B)",,S-001,18 (Section D connector D-02),primary,electrical,PT678,,from S-001 connector view; confirm on the car
SP-522,Body,Front blade length (aftermarket fitment),432,mm,S-113,"RX-7 table, 1982 row",secondary,electrical,PT686,,listed 17 in driver and passenger (and 17 in rear); confirm by measuring
SP-523,Electrical,"Feed fuse (IG, X-04 fuse block, shared with rear washer)",10,A,S-001,Section D p18,primary,electrical,PT688,,"Feed L from ignition IG via 10 A fuse, becomes LB at X-03 and L at D-07 into the motor; confirm on the car"
SP-524,Electrical,Motor control method,"ground-side switched: motor BG lead grounded through D-06 rear wiper & washer switch to B, X-11, X-02, X-13",,S-001,Section D p18,primary,electrical,PT688,,Motor has constant IG feed on L; the cabin switch completes the ground; confirm on the car
SP-525,Electrical,Internal auto-stop (park) switch,"yes - single contact inside the motor to body ground, keeps the motor running to the park position after the switch is turned off",,S-001,Section D p18,primary,electrical,PT688,,Drawn inside D-05 with its own ground symbol (no connector pin); confirm on the car
SP-526,Electrical,"Standard equipment, 1982 US",GSL only (listed as GSL addition over GS: rear-window wiper/washer),,S-004,15,primary,electrical,PT688,,Whether this GS has one fitted - confirm on the hatch
SP-527,Electrical,"Bench test: battery + to motor connector terminal A, - to terminals B and C",motor must turn,,S-002,Section 15 p15-46,primary,electrical,PT688,other-car,"1985 workshop manual only; the page says a battery, no voltage figure; 1982 S-001 shows two harness leads L and BG plus an internal ground, so the A/B/C letters are 1985 - confirm on the car"
SP-528,Electrical,"Circuit check: voltage between line L and body ground, ignition ON",voltage present (none: check the fuse or repair the harness),,S-002,Section 15 p15-46,primary,electrical,PT688,other-car,1985 manual gives no voltage figure on this page; the troubleshooting table (p15-43) names the fuse R. WIPER; 1982 wiring agrees the L lead is IG-fed (S-001 D p18)
SP-529,Electrical,Troubleshooting causes when rear wiper does not work,R. WIPER fuse blown; faulty rear wiper motor; faulty rear wiper switch; faulty wiring or ground,,S-002,Section 15 p15-43,primary,electrical,PT688,other-car,"1985 manual; abnormal noise causes listed: brush wear, loose motor mounting screw, insufficient grease in link joint"
SP-530,Electrical,"Shipping weight, motor 1480-67-450C",3,lb,S-114,,secondary,electrical,PT688,,"Retailer listing weight; listed NLA, fits 1981-85"
SP-531,Body,Rear wiper blade length (lookup table),17,in,S-113,,unverified,electrical,PT696,,"Blade-size lookup site gives 17 in for driver, passenger and rear, 1979-84 and 1985; no factory source seen - measure the blade on the car; confirm"
SP-532,Electrical,Key positions,"OFF, ACC, IG, ST",,S-001,"10, 26",primary,electrical,PT708,,switch symbol on Section A and H pages
SP-533,Electrical,"Supply fusible link (main, X-07)",1.25,mm2,S-001,26,primary,electrical,PT708,,WR from battery via 1.25 sq link to X-08
SP-534,Electrical,Start circuit fusible link (X-09),0.5,mm2,S-001,10,primary,electrical,PT708,,ST output -> 0.5 sq link -> BY to inhibitor switch and starter
SP-535,Electrical,IG output fuse to alternator excitation (X-04),15,A,S-001,10,unverified,electrical,PT708,,BY -> fuse -> BW to alternator A-08; the scan is faint and reads 15A (or 7.5A); charging-starting.md says 7.5 A. Read the fuse block on the car - confirm
SP-536,Electrical,IG output fuse to GY bus (X-04),10,A,S-001,26,primary,electrical,PT708,,BY -> 10 A -> GY
SP-537,Electrical,ACC output fuse to front wiper (X-04),10,A,S-001,18,primary,electrical,PT708,,L -> 10 A -> L to front wiper motor D-02 and CPU X-16 (the LB on this page comes from the second 10 A fuse)
SP-538,Electrical,ACC output fuse to rear wiper/washer (X-04),10,A,S-001,18,primary,electrical,PT708,,"L -> second 10 A -> LB (rear washer D-04, rear wiper D-07, front washer D-01)"
SP-539,Electrical,ACC output fuse to LO bus (X-04),20,A,S-001,26,primary,electrical,PT708,,"L -> 20 A -> LO (glove box light, seat belt light); OEM-RECORD lists LO as WR constant - page 26 draws it from the switch ACC side, confirm"
SP-540,Electrical,Continuity ACC (1980 switch),C-E,,S-045,"15:10 (pdf p12), Fig 15-32",primary,electrical,PT708,other-car,"1980 terminal letters/colours A BY, B YB, C WR, D BW, E L, F RB, G B, H YB"
SP-541,Electrical,Continuity ON (1980 switch),C-D-E; F-H,,S-045,15:10 (pdf p12),primary,electrical,PT708,other-car,
SP-542,Electrical,Continuity START (1980 switch),C-D-A-B; F-G,,S-045,15:10 (pdf p12),primary,electrical,PT708,other-car,E (ACC) is open in START
SP-543,Electrical,Continuity LOCK (1985 switch),H-I,,S-002,15-14,primary,electrical,PT708,other-car,H-I is the 1985 key reminder contact (closed with key in)
SP-544,Electrical,Continuity ACC (1985 switch),D-G; H-I,,S-002,15-14,primary,electrical,PT708,other-car,
SP-545,Electrical,Continuity ON (1985 switch),D-E-F-G; H-I,,S-002,15-14,primary,electrical,PT708,other-car,
SP-546,Electrical,Continuity START (1985 switch),B-C; A-D-E-F; H-I,,S-002,15-14,primary,electrical,PT708,other-car,
SP-547,Electrical,Replacement Mazda BA14-66-151A: substitute for NLA BA24-66-155A,BA14-66-151A,,S-117,web,secondary,electrical,PT708,,"Atkins lists BA24-66-155A NLA at 225 USD, says BA14-66-151A may work"
SP-548,Electrical,Replacement Mazda 1984-85 ignition switch: fits 1981-85,"one extra wire, different plug colours",,S-118,web,unverified,electrical,PT708,,forum statement
SP-549,Electrical,Contact type,"normally open, closed with key inserted",,S-001,26,primary,electrical,PT709,,H-03 symbol
SP-550,Electrical,"Supply fuse (LY, X-04 room)",15,A,S-001,26,primary,electrical,PT709,,constant-hot
SP-551,Electrical,"CPU input (1985: pin N, G wire, IG key reminder switch)",N,,S-002,15-12,primary,electrical,PT709,other-car,1982 wire also G to CPU X-16 per S-001 p26
SP-552,Electrical,"Supply fuse (X-04, rear wiper/washer)",10,A,S-001,18,primary,electrical,PT701,,on ACC-side L bus
SP-553,Electrical,Test: voltage at LB with ignition ON,12,V,S-002,15-46,primary,electrical,PT701,other-car,1985 wire colours LB/L match S-001 1982
SP-554,Electrical,Test: ground L with LB live,"motor must run, else replace",,S-002,15-46,primary,electrical,PT701,other-car,
SP-555,Electrical,"Memory supply fuse (LY, X-04)",15,A,S-001,26,primary,electrical,PT849,,constant-hot
SP-556,Electrical,"Ignition supply fuse (GY, X-04)",10,A,S-001,26,primary,electrical,PT849,,
SP-557,Electrical,Switched load: luggage compartment light,5,W,S-001,26,primary,electrical,PT816,,H-11 on LY 15 A
SP-558,Electrical,Contact type,closes to body ground when hatch open,,S-001,26,primary,electrical,PT816,,"single-wire RB, case grounded"
SP-559,Electrical,Switched load: glove box light,3.4,W,S-001,26,primary,electrical,PT832,,H-01 on LO 20 A
SP-560,Electrical,Contact type,closes to ground when glove box open,,S-001,26,primary,electrical,PT832,,BL and ring-terminal B
SP-561,Ignition,Condenser capacity,0.24-0.30,uF,S-038,T:3 (PDF p.5),primary,ignition,PT261,,
SP-562,Ignition,Ignition timing mark location,Eccentric shaft pulley,,S-038,T:3 (PDF p.5),primary,ignition,PT014,,
SP-563,Ignition,Ignition timing mark colours and pointer,"Leading mark yellow, trailing mark red on the eccentric shaft pulley; read against the indicator pin on the front cover",,"S-006,S-002",S-006 PDF p.34 (printed 44); S-002 p.5-35,primary,ignition,PT014,other-car,"Colours from the 1981 training manual, indicator pin from the 1985 workshop manual; no 1982 source opened states them. Confirm on the car."
SP-564,Ignition,Timing adjustment method,Leading: loosen the distributor lock nut and rotate the housing. Trailing: loosen the trailing vacuum unit's attaching screws and move the unit,,"S-002,S-006",S-002 p.5-36; S-006 PDF p.34 (printed 44),primary,ignition,PT014,other-car,1985 and 1981 manuals give the same method; no 1982 source opened states it.
SP-565,Ignition,Distributor installation alignment,Set leading yellow mark on the pulley to the indicator pin; align tally marks on housing and driven gear; turn the housing until the signal rotor protrusion aligns with the pick-up core; tighten lock nut,,S-002,p.5-35,primary,ignition,PT014,other-car,1985 procedure.
SP-566,Ignition,Pick-up coil signal test,DC ammeter (max graduation 1 mA) across the coupler terminals; the needle must move when a screwdriver on the magnet core is quickly pulled away; test leading and trailing,,S-002,p.5-34,primary,ignition,PT256,other-car,1985 procedure; resistance values are on the distributor (PT014).
SP-567,Ignition,Air gap remedy,"If the gap between the signal rotor protrusion and pick-up core is out of spec, replace the pick-up coil and bearing assembly or the distributor drive shaft",,S-002,p.5-35,primary,ignition,PT257,other-car,The 0.5-0.9 mm figure is already recorded on PT014 from S-038.
SP-568,Ignition,Igniter check,Bench circuit with a 12 V test lamp of less than 10 W; switching ON and OFF quickly must make the lamp flash; test each igniter,,S-002,p.5-37,primary,ignition,PT258,other-car,1985 procedure.
SP-569,Ignition,Replacement Standard Motor Products LX-642: ratings and interchange,"12 V; one connector, male blade terminals; bolt-on; made in Japan; interchange Beck/Arnley 1800041, Delphi DS10035, Kem E5007, ACDelco 88921543 / E1952A, Airtex 6H1162, Wells 55-1662, Duralast JA1098, Mazda E30124910; obsolete",,S-128,product page,secondary,ignition,PT258,,
SP-570,Ignition,Distributor cap inspection,"Cracks, carbon tracks, burnt and corroded terminals; worn centre contact",,S-002,p.5-33,primary,ignition,PT015,other-car,1985 procedure.
SP-571,Ignition,Replacement YEC YD306,"Listed for Mazda 8245-24-310B, RX-7",,S-130,product page,secondary,ignition,PT015,,
SP-572,Ignition,Distributor rotor inspection,Cracks; excessive burning at the end of the metal strip,,S-002,p.5-33,primary,ignition,PT016,other-car,1985 procedure.
SP-573,Ignition,Replacement Standard Motor Products JR87: construction and interchange,"Plastic body, aluminium contact, push-on, black; interchange 824524303A, 12329681, JR87T, N32218V05",,S-129,moreinfo pk=46521,secondary,ignition,PT016,,
SP-574,Ignition,High-tension lead handling,"Do not puncture leads with a probe; remove from plugs by grasping and twisting the moulded cap, never by pulling the cord",,S-002,p.5-37 to 5-38,primary,ignition,PT017,other-car,1985 procedure.
SP-575,Ignition,High-tension lead boot colours,Leading: black boot; trailing: blue boot,,S-006,PDF p.34 (printed 44),primary,ignition,PT017,other-car,1981 training manual; confirm on the car.
SP-576,Ignition,Replacement NGK coil sold as 8245-18-100,Aftermarket NGK coil sold by Atkins as a replacement for 1980-85 12A/13B; 77.25 USD,,S-121,product page,secondary,ignition,PT013,,OEM Mazda coils are no longer made.
SP-577,Ignition,Replacement Mazda N236-24-314 (pick-up coil and breaker plate),"Fits 1981-85 RX-7 12A and 13B; Atkins 330.00 USD (out of stock), Mazdatrix 253.86 USD",,S-122,product page,secondary,ignition,PT256,,N236-24-314 is the catalogue's alternative number; Mazdatrix listing via src-mazdatrix-ign.
SP-578,Identity,NGK stock number,2329 (BR8EQ-14),,S-131,product page,secondary,ignition,PT019,,
SP-579,Ignition,"Part identity: centre contact (carbon button with spring) inside the distributor cap, bearing on the rotor",1757-24-302,,S-005,"Engine-Chassis PDF p.57 (printed 1-15), fig. 1820A-1, D-code 24 496",primary,ignition,PT263,,Read from the exploded drawing: 24496 is drawn between cap 24310 and rotor 24312. Qty 1. confirm on the car.
SP-580,Lighting,Retractable headlight switch contacts,"Two ganged poles: UP/ON joins WG (constant feed) to R (motor UP line); OFF/normal joins RW (from light switch, hot when LIGHT is off) to RY (motor DOWN line)",,S-001,"PDF p.20 (sect E, E-02)",primary,lighting,PT034,,from S-001; confirm on the car
SP-581,Lighting,"Continuity check, retractable headlight switch (1980 4-pin): ON A(WG)-D(R); OFF B(RW)-C(RY)",ohmmeter continuity,,S-045,80RX7_15_Body_Electrical p.15:10 Fig 15-35,primary,lighting,PT034,other-car,1980 switch 8871-66-670 has 4 pins; the same WG-R / RW-RY pairs are drawn for 1982 in S-001 p.20
SP-582,Lighting,Headlight cleaner switch inside the retractable headlight switch,"LY to cleaner motor E-11 (via X-12), B to ground (X-02, X-13)",,S-001,PDF p.20 (sect E),primary,lighting,PT034,,from S-001; whether a headlight cleaner is fitted on this US car is not known - confirm
SP-583,Lighting,"Retractor switch test: (WG) hot with switch UP, (RY) hot with switch DOWN; then (R) hot UP and (RY) hot DOWN at the output",voltage check,,S-002,Section 15 p.15-30,primary,lighting,PT034,other-car,1985 cluster switch; same wire colours as the 1982 switch in S-001
SP-584,Lighting,Retractor motor internal circuit,"R (UP) and RY (DOWN) each enter through a diode to a cam limit switch; its common drives the relay coil to ground; relay NO contact connects WR to the motor, NC contact grounds the motor; YG taps the motor feed through a diode to the 3.4 W retractor indicator",,S-001,"PDF p.20 (sect E, E-03/E-04)",primary,lighting,PT033,,from S-001; confirm with an ohm check on the car
SP-585,Lighting,Retractor motor feed,own 0.3 sq fusible link on WR (separate from the 0.3 sq WG link and the 1.25 sq main),,S-001,PDF p.20 (sect E),primary,lighting,PT033,,from S-001; confirm
SP-586,Lighting,Motor check: battery voltage on the R wire at the motor connector with light switch or retractor switch ON (UP); voltage present but no motion = motor ground or motor fault,battery voltage,V,S-002,Section 15 p.15-29,primary,lighting,PT033,other-car,"1985 procedure; motor connector wires WR, YG, R, RY are the same colours as 1982 E-03/E-04"
SP-587,Lighting,"Manual raise: disconnect battery negative, remove the cover, turn the manual control knob on the motor shaft until the headlight is fully up",procedure,,S-045,80RX7_15_Body_Electrical p.15:1,primary,lighting,PT033,other-car,same procedure in 1985 S-002 Section 14 p.14-16
SP-588,Lighting,"Lid up-down adjustment with motor: knob to lowest (automatic stop) position, loosen motor mounting bolts and nuts, reconnect link, slide motor fore/aft, tighten",procedure,,S-002,Section 14 p.14-18,primary,lighting,PT590,other-car,1980 S-045 p.15:3 gives the same steps
SP-589,Body,"Lid height adjustment: loosen lock nut, turn adjusting screw in or out against the stop rubber, tighten lock nut",procedure,,S-002,Section 14 p.14-18,primary,lighting,PT587,other-car,1980 S-045 p.15:3 gives the same steps
SP-590,Body,"Link to hinge ball pivot: press together by finger until an audible click, not pliers; redo lid up-down adjustment after hinge replacement",procedure,,S-045,80RX7_15_Body_Electrical p.15:2,primary,lighting,PT588,other-car,same caution in 1985 S-002 Section 14 p.14-17
SP-591,Lighting,"Headlight aim: two adjusting screws per lamp; tyres at pressure, car level and unladen",procedure,,S-045,80RX7_15_Body_Electrical p.15:1,primary,lighting,PT589,other-car,same in 1985 S-002 Section 14 p.14-16
